Year,Price-weighted Capital Appreciation,Price-weighted Appreciation Index,Low dividend return ,High dividend return ,Total return with low dividends,Total return with high dividends,Equal-weighted capital appreciation returns,Equal-weighted capital appreciation return index,Total number of securities  in index,Insurance,Transportation,Banks,Mining,Utility,Industrials and other
1888,0.0208654871625948,1.88697124190158,0.0436432637571158,0.0436432637571158,0.0645087509197106,0.0645087509197106,0.0954499374275606,686.617051183894,96,0,19,0,2,0,75
1889,0.0449192020835743,1.97173248444245,0.0428015564202335,0.0428015564202335,0.0877207585038078,0.0877207585038078,0.153320250159735,791.889349235348,89,0,16,0,2,0,71
1890,-0.107239219265114,1.76028543221118,0.0413533834586466,0.0413533834586466,-0.0658858358064672,-0.0658858358064672,-0.012417536723569,782.056034160215,91,0,15,0,2,0,74
1891,0.0295273363447321,1.81226197223081,0.0478260869565217,0.0478260869565217,0.0773534233012538,0.0773534233012538,0.158719396273691,906.183495754321,83,0,15,0,2,0,66
1892,0.103491622517623,1.99981590416397,0.044362292051756,0.044362292051756,0.147853914569379,0.147853914569379,0.186385550063668,1075.08300506911,82,0,15,0,2,0,65
1893,-0.1686274844484,1.6625919788849,0.0453720508166969,0.0453720508166969,-0.123255433631703,-0.123255433631703,-0.242272752576595,814.619686182697,80,0,15,0,2,0,63
1894,-0.0281796621191205,1.61574069867796,0.0476190476190476,0.0476190476190476,0.0194393854999271,0.0194393854999271,0.0916445928276912,889.275175632332,75,0,15,0,2,0,58
1895,0.0213861222031233,1.65029512670845,0.0441860465116279,0.0441860465116279,0.0655721687147512,0.0655721687147512,0.26405481663994,1124.09256907638,70,0,14,0,2,0,54
1896,0.00693966048950556,1.66174761459529,0.0416666666666667,0.0416666666666667,0.0486063271561723,0.0486063271561723,0.0716136781751087,1204.59297255724,70,0,14,0,2,0,54
1897,0.141486978541268,1.89686326368254,0.042654028436019,0.042654028436019,0.184141006977287,0.184141006977287,0.227220509780639,1478.30120185988,65,0,14,0,2,0,49
1898,0.121678634279193,2.1276709950218,0.0421052631578947,0.0421052631578947,0.163783897437088,0.163783897437088,0.376008716682554,2034.15533964149,61,0,13,0,2,0,46
1899,0.041707665571493,2.21641118532833,0.0371681415929204,0.0371681415929204,0.0788758071644133,0.0788758071644133,0.105110315458171,2247.96604908213,60,0,13,0,2,0,45
1900,0.179852422134938,2.61503810545661,0.0498338870431894,0.0498338870431894,0.229686309178128,0.229686309178128,0.313775071256536,2953.32175631514,70,0,13,0,2,0,55
1901,0.246009905292065,3.25836338211513,0.0465793304221252,0.0465793304221252,0.29258923571419,0.29258923571419,0.385977938333404,4093.23879905285,75,0,12,0,2,0,61
