Year,S,D,Source,Q,G,X
1966,93.32,2.87,Shiller S&P,0.11058372966836139,0.05368014946362387,0.056903580204737514
1967,84.45,2.92,Shiller S&P,-0.06588247284322613,0.017271586508660564,-0.08315405935188669
1968,95.04,3.07,Shiller S&P,0.14992965492149057,0.05009394531891531,0.09983570960257526
1969,102.0,3.16,Shiller S&P,0.1011851442473457,0.028894465999715013,0.07229067824763069
1970,90.31,3.14,Shiller S&P,-0.08754627938269888,-0.006349227678658753,-0.08119705170404012
1971,93.49,3.07,Shiller S&P,0.06691638052656845,-0.02254523832105626,0.08946161884762471
1972,103.3,3.15,Shiller S&P,0.12982091263626483,0.02572489123843602,0.10409602139782881
1973,118.4,3.38,Shiller S&P,0.1645787620548349,0.07047325665738557,0.09410550539744933
1974,96.11,3.6,Shiller S&P,-0.1718027496092036,0.06305813596713694,-0.23486088557634055
1975,72.56,3.68,Shiller S&P,-0.23160710948924557,0.02197890671877545,-0.253586016208021
1976,96.86,4.05,Shiller S&P,0.3298152246695558,0.09580412893760815,0.23401109573194767
1977,103.8,4.67,Shiller S&P,0.11320700007704332,0.14244219056235807,-0.029235190485314755
1978,90.25,5.07,Shiller S&P,-0.08522631850124629,0.082181745922286,-0.1674080644235323
1979,99.71,5.65,Shiller S&P,0.15479946022203528,0.10831472755525784,0.04648473266677744
1980,110.9,6.16,Shiller S&P,0.16042065102237313,0.08642123238707877,0.07399941863529436
1981,133.0,6.63,Shiller S&P,0.2303671725977816,0.07352802665234259,0.15683914594543902
1982,117.3,6.87,Shiller S&P,-0.06869753379300292,0.03555930203648683,-0.10425683582948975
1983,144.3,7.09,Shiller S&P,0.25512453296435744,0.03152123430977816,0.22360329865457929
1984,166.4,7.53,Shiller S&P,0.1867584536402367,0.060209701267766036,0.12654875237247065
1985,171.6,7.9,Shiller S&P,0.07578067954122503,0.047967717661173914,0.027812961880051112
1986,208.2,8.28,Shiller S&P,0.23233197736861566,0.04698020892419219,0.18535176844442347
1987,264.5,8.81,Shiller S&P,0.27210752591178977,0.062044471550919855,0.21006305436086992
1988,250.5,9.75,Shiller S&P,-0.016198543803275456,0.10137984506166786,-0.11757838886494332
1989,285.4,11.06,Shiller S&P,0.16845338156079404,0.12606771108443304,0.04238567047636099
1990,339.97,12.09,Shiller S&P,0.20990991057509056,0.08904366853251222,0.12086624204257834
1991,325.49,12.2,Shiller S&P,-0.006729063551780712,0.009057287112509638,-0.01578635066429035
1992,416.08,12.39,Shiller S&P,0.2748889847078031,0.015453743901840067,0.25943524080596303
1993,435.23,12.58,Shiller S&P,0.07349148584844123,0.015218555631243635,0.058272930217197594
1994,472.99,13.17,Shiller S&P,0.1106631608376647,0.04583326448289515,0.06482989635476955
1995,465.25,13.79,Shiller S&P,0.012709854611867577,0.04600217605002088,-0.033292321438153305
1996,614.42,14.9,Shiller S&P,0.3020649758498628,0.0774175211462027,0.2246474547036601
1997,766.22,15.5,Shiller S&P,0.24081788677488802,0.03947881097378758,0.20133907580110044
1998,963.36,16.2,Shiller S&P,0.24563415648017983,0.044171218313137306,0.20146293816704253
1999,1248.77,16.69,Shiller S&P,0.27276379770944015,0.02979849543540558,0.24296530227403457
2000,1425.59,16.27,Shiller S&P,0.14377487990244475,-0.025486816442797267,0.16926169634524202
2001,1335.63,15.74,Shiller S&P,-0.053466870430754376,-0.03311767824168932,-0.020349192189065057
2002,1140.21,16.07,Shiller S&P,-0.14419513519616078,0.020748936760163872,-0.16494407195632466
2003,895.84,17.39,Shiller S&P,-0.22197996932297048,0.07894114861677082,-0.3009211179397413
2004,1132.52,19.44,Shiller S&P,0.2514582928302014,0.11143747066610121,0.14002082216410017
2005,1181.41,22.22,Shiller S&P,0.06089675242418657,0.13365998517919087,-0.07276323275500429
2006,1278.73,24.88,Shiller S&P,0.09842869862781267,0.11307148365949482,-0.014642785031682148
2007,1424.16,27.73,Shiller S&P,0.12699875806941296,0.10845059175670801,0.01854816631270495
2008,1378.76,28.39,Shiller S&P,-0.012015783970551475,0.023522110857193024,-0.0355378948277445
2009,865.58,22.41,Shiller S&P,-0.4399793418204192,-0.23652968267204422,-0.20344965914837498
2010,1123.58,22.73,Shiller S&P,0.2809035643378657,0.014178350051616384,0.2667252142862493
2011,1282.62,26.43,Shiller S&P,0.15278166713456187,0.15081409075174568,0.001967576382816194
2012,1300.58,31.25,Shiller S&P,0.03764907540836315,0.16751964756621307,-0.12987057215784992
2013,1480.4,34.99,Shiller S&P,0.15286251275897556,0.11304293019718603,0.039819582561789524
2014,1822.36,39.44,Shiller S&P,0.22923144017038855,0.11971822335483795,0.1095132168155506
2015,2028.18,43.39,Shiller S&P,0.12817440951083636,0.09544847007582469,0.032725939435011675
2016,1918.6,45.7,Shiller S&P,-0.03200289142858903,0.05186929808989982,-0.08387218951848885
2017,2275.12,48.93,Shiller S&P,0.19171559998646703,0.06829240740087306,0.12342319258559398
2018,2789.8,53.75,Shiller S&P,0.22302047330897334,0.09395296170673983,0.1290675116022335
2019,2607.39,58.24,Shiller S&P,-0.045529481247142733,0.08022873688065824,-0.12575821812780097
2020,3278.2,58.28,Shiller S&P,0.2465666380371303,0.0006865774385733658,0.24588006059855694
2021,3793.75,60.91,Shiller S&P,0.16198831470600972,0.0441383835213891,0.11784993118462062
2022,4573.82,66.92,Shiller S&P,0.20151886045509038,0.09410051127023067,0.10741834918485971
2023,3960.66,70.3,Shiller S&P,-0.12634418097244193,0.04927392269799569,-0.17561810367043762
2024,4804.49,74.83,Shiller S&P,0.20859518784773634,0.062447075275647634,0.1461481125720887
2025,5979.52,79.52,Shiller S&P,0.23200047433954296,0.06078968825605191,0.17121078608349105
